word_english,translation_portuguese,sentence_english,sentence_portuguese,date
corkscrew,saca-rolhas,The corkscrew is necessary to open a bottle of wine.,O saca-rolhas é necessário para abrir uma garrafa de vinho.,2026-01-22
blueprint,plano,The blueprint of the house was drawn by a famous architect.,O plano da casa foi desenhado por um arquiteto famoso.,2026-01-22
raincoat,capa de chuva,"Take the raincoat, as the weather is uncertain today.","Leva a capa de chuva, pois o tempo está incerto hoje.",2026-01-22
pencil,lápis,I use a pencil to write my notes in class.,Eu uso um lápis para escrever as minhas notas na aula.,2026-01-22
envelope,envelope,The postman left an envelope in my mailbox.,O carteiro deixou um envelope na minha caixa de correio.,2026-01-22
bicycle tire,pneu de bicicleta,The bicycle tire needs air to work well.,O pneu de bicicleta precisa de ar para funcionar bem.,2026-01-22
blanket,cobertor,The blanket is warm and comfortable for winter.,O cobertor é quente e confortável para o inverno.,2026-01-22
shoelace,cadarço,My shoelace is undone and I need to tie it again.,O meu cadarço está desfeito e preciso de o atar novamente.,2026-01-22
wallet,carteira,I keep my money in the wallet I bought yesterday.,Eu guardo o meu dinheiro na carteira que comprei ontem.,2026-01-22
tipsy,bêbado,"After a few drinks, he got a bit tipsy at the party.","Depois de algumas bebidas, ele ficou um pouco bêbado na festa.",2026-01-22
soap,sabão,Soap is essential for personal hygiene and keeping the house clean.,O sabão é essencial para manter a higiene pessoal e a limpeza da casa.,2026-01-22
erection,ereção,Erection is a natural process that occurs in the male body during arousal.,A ereção é um processo natural que ocorre no corpo masculino durante a excitação.,2026-01-22
fraternity,fraternidade,Fraternity is important for the unity among students.,A fraternidade é importante para a união entre os estudantes.,2026-01-22
testing,teste,"The testing was difficult, but I managed to pass.","O teste foi difícil, mas consegui passar.",2026-01-22
bachelor,bacharelato,The bachelor’s degree is an important step in higher education.,O bacharelato é um passo importante na educação superior.,2026-01-22
Fierce fight,luta feroz,The fierce fight between the two teams was exciting to watch.,A luta feroz entre os dois times foi emocionante de assistir.,2026-01-22
rover,vagabundo,The rover explored the city all day long.,O vagabundo explorou a cidade durante todo o dia.,2026-01-22
empty,vazio,"The box was empty, with nothing inside.","A caixa estava vazia, sem nada dentro.",2026-01-22
Shake,agitar,He started to shake the bottle to mix the ingredients.,Ele começou a agitar a garrafa para misturar os ingredientes.,2026-01-22
maid,empregada,The maid cleaned the house before the party.,A empregada limpou a casa antes da festa.,2026-01-22
Cheating,trapaça,Cheating on exams is a serious problem in schools.,A trapaça nos exames é um problema sério nas escolas.,2026-01-22
Commute,deslocar,My commute to work takes about an hour.,O meu deslocar para o trabalho leva cerca de uma hora.,2026-01-22
Moisture,humidade,The moisture in the air can cause discomfort during summer.,A humidade no ar pode causar desconforto durante o verão.,2026-01-22
herbs,ervas,Herbs are important for adding flavor to dishes.,As ervas são importantes para dar sabor aos pratos.,2026-01-22
wrestling,lutar,Wrestling is a sport that involves strength and technique.,O wrestling é um desporto que envolve força e técnica.,2026-01-22
wrestling,wrestling,Wrestling is a sport that involves strength and technique.,O wrestling é um desporto que envolve força e técnica.,2026-01-22
look,olhar,Looking at the sky at night is always fascinating.,Olhar para o céu à noite é sempre fascinante.,2026-01-22
to add deodorant in the shopping basket,adicionar desodorizante ao cesto de compras,It's important to add deodorant to the shopping basket for everyday use.,É importante adicionar desodorizante ao cesto de compras para o dia a dia.,2026-01-22
umbrella,guarda-chuva,"When it started to rain, I grabbed my umbrella to avoid getting wet on the way.","Quando começou a chover, peguei no meu guarda-chuva para não me molhar durante o caminho.",2026-01-22
pharmacist,farmacêutico,The pharmacist explained to me in detail how to take the prescribed medications for my health condition.,O farmacêutico explicou-me detalhadamente como tomar os medicamentos prescritos para a minha condição de saúde.,2026-01-22
screwdriver,chave de fendas,The screwdriver is an essential tool for assembling and disassembling furniture at home.,A chave de fendas é uma ferramenta essencial para montar e desmontar móveis em casa.,2026-01-22
sunrise,nascer do sol,The sunrise is a spectacle that many appreciate for its beauty and morning tranquility.,O nascer do sol é um espetáculo que muitos apreciam pela sua beleza e tranquilidade matinal.,2026-01-22
cut to the chase,ir direto ao assunto,Let's cut to the chase and discuss what really matters in this meeting.,Vamos ir direto ao assunto e discutir o que realmente importa nesta reunião.,2026-01-22
off the cuff,de improviso,He gave an off-the-cuff speech that surprised everyone with its eloquence and sincerity.,Ele fez um discurso de improviso que surpreendeu a todos pela sua eloquência e sinceridade.,2026-01-22
on second thought,a segunda vista,"On second thought, perhaps we should reconsider our decision about the holiday trip.","A segunda vista, talvez devêssemos reconsiderar a nossa decisão sobre a viagem de férias.",2026-01-22
foot,pé,"After a long walk, my foot started to hurt and I needed to rest for a while.","Após uma longa caminhada, o meu pé começou a doer e precisei de descansar um pouco.",2026-01-22
umbrella policy,apólice de responsabilidade civil,An umbrella policy provides additional coverage that protects against unexpected and high risks.,Uma apólice de responsabilidade civil oferece uma cobertura adicional que protege contra riscos inesperados e elevados.,2026-01-22
grain,grão,Wheat grain is essential for the production of bread and other staple foods in the Portuguese diet.,O grão de trigo é essencial para a produção de pão e outros alimentos básicos na dieta portuguesa.,2026-01-22
rule of thumb,regra prática,"A rule of thumb that many follow is that, for cooking, it's better to use fresh ingredients whenever possible.","Uma regra prática que muitos seguem é que, para cozinhar, é melhor usar ingredientes frescos sempre que possível.",2026-01-22
split hairs,dividir cabelos,It's not worth splitting hairs over such trivial matters when we have more important issues to address.,Não vale a pena dividir cabelos sobre questões tão triviais quando temos problemas mais importantes para resolver.,2026-01-22
loose,solto,"The dog was loose in the park, running freely and playing with the children who were there.","O cão estava solto no parque, correndo livremente e brincando com as crianças que lá estavam.",2026-01-22
under the weather,indisposto,"Today I feel a bit under the weather, perhaps because of the cold and rainy weather we've been having.","Hoje sinto-me um pouco indisposto, talvez seja por causa do tempo frio e chuvoso que temos tido.",2026-01-22
running,corrida,Running is an excellent way to maintain health and physical well-being over time.,A corrida é uma excelente forma de manter a saúde e o bem-estar físico ao longo do tempo.,2026-01-22
red tape,burocracia,Excessive red tape can delay important projects and demotivate the employees involved in the process.,A burocracia excessiva pode atrasar projetos importantes e desmotivar os colaboradores envolvidos no processo.,2026-01-22
practice exam,exame prático,I took a practice exam to better prepare for the final exam of the medical course.,Fiz um exame prático para me preparar melhor para o exame final do curso de medicina.,2026-01-22
fight,lutar,It is important to fight for our rights and not give up in the face of the difficulties that arise.,É importante lutar pelos nossos direitos e não desistir diante das dificuldades que surgem.,2026-01-22
romantic date,encontro romântico,A romantic date by candlelight can be the perfect way to surprise your significant other.,Um encontro romântico à luz das velas pode ser a maneira perfeita de surpreender a sua cara-metade.,2026-01-22
print,imprimir,It is important to print all documents before the meeting to ensure nothing essential is missing.,É importante imprimir todos os documentos antes da reunião para garantir que não falte nada essencial.,2026-01-22
overwhelming,avassalador,The overwhelming feeling of joy took over everyone at the surprise birthday party.,A sensação avassaladora de alegria tomou conta de todos na festa de aniversário surpresa.,2026-01-22
File,Arquivo,The file you need for the project is in the folder I sent you last night.,O arquivo que você precisa para o projeto está na pasta que lhe enviei ontem à noite.,2026-01-22
Scandal,Escândalo,The scandal involving local politics sparked a wave of outrage among the citizens.,O escândalo que envolveu a política local gerou uma onda de indignação entre os cidadãos.,2026-01-22
wasp,vespa,The wasp is an insect that can be quite aggressive when it feels threatened.,A vespa é um inseto que pode ser bastante agressivo quando se sente ameaçado.,2026-01-22
spatula,espátula,The spatula is an essential tool in the kitchen for flipping and serving food with ease.,A espátula é uma ferramenta essencial na cozinha para virar e servir alimentos com facilidade.,2026-01-22
lagoon,laguna,The lagoon is a fascinating ecosystem that hosts an incredible diversity of marine life and birds.,A laguna é um ecossistema fascinante que abriga uma diversidade incrível de vida marinha e aves.,2026-01-22
radiator,radiador,"The living room radiator does not heat enough, making the environment uncomfortable during winter.","O radiador da sala não aquece o suficiente, o que torna o ambiente desconfortável durante o inverno.",2026-01-22
meadow,prado,"The meadow, covered in wildflowers, was a perfect spot for a family picnic.","O prado, coberto de flores silvestres, era um lugar perfeito para um piquenique em família.",2026-01-22
Suspected,Suspeito,The man was deemed a suspect after the investigation revealed new incriminating evidence.,O homem foi considerado suspeito após a investigação revelar novas evidências incriminatórias.,2026-01-22
Coding standards,Normas de codificação,Coding standards are essential to ensure the quality and long-term maintenance of software.,As normas de codificação são essenciais para garantir a qualidade e a manutenção do software a longo prazo.,2026-01-22
computer mouse,rato de computador,The computer mouse is an essential tool for efficient navigation in any modern operating system.,O rato de computador é uma ferramenta essencial para a navegação eficiente em qualquer sistema operativo moderno.,2026-01-22
Euro bill,nota de euro,The euro bill is widely used in commercial transactions throughout the eurozone.,A nota de euro é amplamente utilizada em transações comerciais em toda a zona euro.,2026-01-22
Coins,Moedas,Coins are a widely used medium of exchange in daily transactions around the world.,As moedas são um meio de troca muito utilizado em transações diárias em todo o mundo.,2026-01-22
Makeup,Maquilhagem,The makeup she wore to the party enhanced her natural and charming beauty even more.,A maquilhagem que ela usou para a festa realçou ainda mais a sua beleza natural e encantadora.,2026-01-22
Conversation,Conversa,"The conversation between the two friends lasted for hours, filled with laughter and memories from the past.","A conversa entre os dois amigos durou horas, cheia de risos e recordações do passado.",2026-01-22
Interview,Entrevista,"The job interview was quite challenging, but I feel that I did well on the questions.","A entrevista para o emprego foi bastante desafiadora, mas sinto que me saí bem nas perguntas.",2026-01-22
contagious,contagiante,Her joy was so contagious that it quickly spread throughout the room.,A alegria dela era tão contagiante que rapidamente se espalhou por toda a sala.,2026-01-22
Storm,Tempestade,"The approaching storm promised to wreak havoc across the region, with strong winds and heavy rain.","A tempestade que se aproximava prometia causar estragos em toda a região, com ventos fortes e chuvas intensas.",2026-01-22
Murderer,Assassino,The murderer was finally caught by the police after a lengthy investigation that lasted months.,O assassino foi finalmente apanhado pela polícia após uma longa investigação que durou meses.,2026-01-22
fontsize,tamanho da fonte,"Fontsize is a crucial element in graphic design, as it affects the readability of the displayed text.","O tamanho da fonte é um elemento crucial no design gráfico, pois afeta a legibilidade do texto apresentado.",2026-01-22
Ready,Pronto,I am ready to face any challenge that comes my way today.,Estou pronto para enfrentar qualquer desafio que surja no meu caminho hoje.,2026-01-22
perhaps,se calhar,Perhaps we should consider other options before making a final decision about the project.,"Se calhar, deveríamos considerar outras opções antes de tomarmos uma decisão final sobre o projeto.",2026-01-22
finally,enfim,"Finally, after so much waiting, we were able to find a solution to the problem that was affecting us.","Enfim, depois de tanta espera, conseguimos finalmente encontrar uma solução para o problema que nos afetava.",2026-01-22
apparently,aparentemente,"Apparently, the meeting was postponed due to an unforeseen event that no one expected.","Aparentemente, a reunião foi adiada devido a um imprevisto que ninguém esperava.",2026-01-22
I realized,percebi,"I realized that, despite the difficulties, it was important to stay calm and find viable solutions.","Percebi que, apesar das dificuldades, era importante manter a calma e encontrar soluções viáveis.",2026-01-22
happen,acontecer,"It is important to be prepared for what may happen, even if we cannot predict the future.","É importante estar preparado para o que pode acontecer, mesmo que não possamos prever o futuro.",2026-01-22
to take,levar,It is important to take into account the opinions of others before making a final decision.,É importante levar em consideração as opiniões dos outros antes de tomar uma decisão final.,2026-01-22
by chance,por acaso,"By chance, I found an old book that I had been looking for a long time in the bookstore.","Por acaso, encontrei um livro antigo que estava à procura há muito tempo na livraria.",2026-01-22
Indeed,Pois,"Indeed, if we are not careful, we can easily lose focus on our daily priorities.","Pois, se não tivermos cuidado, podemos facilmente perder o foco nas nossas prioridades diárias.",2026-01-22
Rape,Estupro,Rape is a horrific crime that causes deep trauma to victims and should be severely punished by law.,O estupro é um crime horrendo que causa traumas profundos nas vítimas e deve ser severamente punido pela lei.,2026-01-22
Killer,Assassino,The killer was finally caught by the police after a lengthy investigation that lasted months.,O assassino foi finalmente apanhado pela polícia após uma longa investigação que durou meses.,2026-01-22
I burned myself,queimei-me,"Yesterday, while cooking, I burned myself on the oven and felt a sharp pain in my hand.","Ontem, enquanto cozinhava, queimei-me com o forno e senti uma dor intensa na mão.",2026-01-22
Notebook,Caderno,The notebook I bought for classes is very nice and has lined pages.,O caderno que comprei para as aulas é muito bonito e tem páginas pautadas.,2026-01-22
My opinion,A minha opinião,"In my opinion, we should consider all options before making a final decision.",A minha opinião é que devemos considerar todas as opções antes de tomar uma decisão final.,2026-01-22
My arguments,Os meus argumentos,My arguments are based on solid evidence and are presented clearly and coherently.,Os meus argumentos são fundamentados em evidências sólidas e são apresentados de forma clara e coerente.,2026-01-22
maybe,se calhar,Maybe we should reconsider our approach to solving this complex problem more effectively.,"Se calhar, devemos reconsiderar a nossa abordagem para resolver este problema complexo de forma mais eficaz.",2026-01-22
source,fonte,The source of information we used was extremely reliable and well-documented over the years.,A fonte de informação que utilizamos era extremamente confiável e bem documentada ao longo dos anos.,2026-01-22
Heating up,Aquecimento,Global warming is a pressing issue that requires our immediate attention and concrete actions.,O aquecimento global é uma questão premente que exige a nossa atenção imediata e ações concretas.,2026-01-22
Charger,Carregador,"The charger for my phone broke, and I need to buy a new one quickly.",O carregador do meu telemóvel avariou-se e preciso de comprar um novo rapidamente.,2026-01-22
Soundbox,caixa de som,The soundbox I bought has exceptional audio quality and is perfect for parties.,A caixa de som que comprei tem uma qualidade de áudio excepcional e é perfeita para festas.,2026-01-22
Rename,Renomear,We decided to rename the project to better reflect its goals and vision.,Decidimos renomear o projeto para refletir melhor os seus objetivos e a sua visão.,2026-01-22
Worried,Preocupado,"He was worried about the future, especially with the uncertainties that life had in store for him.","Ele estava preocupado com o futuro, especialmente com as incertezas que a vida lhe reservava.",2026-01-22
lifeless,sem vida,"The landscape looked completely lifeless, as if time had stopped in that remote and forgotten place.","A paisagem parecia completamente sem vida, como se o tempo tivesse parado naquele lugar remoto e esquecido.",2026-01-22
proximity,proximidade,The proximity between the two cities facilitates cultural exchange and mutual economic development.,A proximidade entre as duas cidades facilita a troca cultural e o desenvolvimento económico mútuo.,2026-01-22
Bench press,Supino,The bench press is a fundamental exercise for developing upper body and arm strength in weightlifting.,O supino é um exercício fundamental para desenvolver a força do tronco e dos braços na musculação.,2026-01-22
Squad,Esquadrão,The elite squad was assigned to the most dangerous mission of the last decade.,O esquadrão de elite foi destacado para a missão mais perigosa da última década.,2026-01-22
squat,agachamento,The squat is a fundamental exercise for strengthening the legs and improving body posture.,O agachamento é um exercício fundamental para fortalecer as pernas e melhorar a postura corporal.,2026-01-22
Deadlift,Levantamento Terra,The deadlift is a fundamental exercise for developing strength and muscle mass throughout the body.,O levantamento terra é um exercício fundamental para desenvolver força e massa muscular em todo o corpo.,2026-01-22
That's it,É isso,"When we finally found the solution, I looked at my colleagues and said, 'That's it!'","Quando finalmente encontramos a solução, olhei para os meus colegas e disse: 'É isso!'",2026-01-22
to engage in conversation,meter conversa,He always tries to engage in conversation with strangers to make new friends and socialize more.,Ele sempre tenta meter conversa com estranhos para fazer novos amigos e socializar mais.,2026-01-22
to postpone,adiar,We decided to postpone the meeting to next week due to scheduling conflicts among the participants.,Decidimos adiar a reunião para a próxima semana devido a conflitos de agenda entre os participantes.,2026-01-22
asshole,idiota,He is a real asshole for treating others with such a lack of respect and consideration.,Ele é um verdadeiro idiota por ter tratado os outros com tanta falta de respeito e consideração.,2026-01-22
Cocksucker,Chupador,"Although the word 'cocksucker' is often used pejoratively, it can have varied meanings in different contexts.","Embora a palavra 'chupador' seja frequentemente usada de forma pejorativa, pode ter significados variados em contextos diferentes.",2026-01-22
retard,atrasar,The delay in the project's delivery was caused by unforeseen issues in the production of the necessary materials.,O atraso na entrega do projeto foi causado por problemas imprevistos na produção dos materiais necessários.,2026-01-22
Gambling,Jogos de azar,Gambling can lead to serious financial consequences if not practiced responsibly.,Os jogos de azar podem levar a consequências financeiras graves se não forem praticados com responsabilidade.,2026-01-22
Launch,Lançar,The company decided to launch a new product that promises to revolutionize the current market.,A empresa decidiu lançar um novo produto que promete revolucionar o mercado atual.,2026-01-22
Embedding,Incorporação,The embedding of new technologies in education can transform how students learn and interact.,A incorporação de novas tecnologias na educação pode transformar a forma como os alunos aprendem e interagem.,2026-01-22
Experiment,Experimento,The experiment conducted at the university revealed surprising results about human behavior in stressful situations.,O experimento realizado na universidade revelou resultados surpreendentes sobre o comportamento humano em situações de stress.,2026-01-22
As in,Como em,The expression 'as in' is often used to introduce examples or comparisons in Portuguese.,A expressão 'como em' é frequentemente utilizada para introduzir exemplos ou comparações em português.,2026-01-22
Ship-first,Navio-primeiro,The 'ship-first' approach is essential for optimizing logistics in maritime cargo transport.,A abordagem 'navio-primeiro' é fundamental para otimizar a logística no transporte marítimo de mercadorias.,2026-01-22
Pitfall,Armadilha,It is important to be aware of the pitfalls that may arise along the path to professional success.,É importante estar ciente das armadilhas que podem surgir ao longo do caminho para o sucesso profissional.,2026-01-22
Pushing,Empurrar,Pushing the boundaries of knowledge is essential for the progress of science and technology.,Empurrar as fronteiras do conhecimento é essencial para o progresso da ciência e da tecnologia.,2026-01-22
Rubber stamp,Carimbo,The rubber stamp we use in the company is essential for authenticating official documents and ensuring their validity.,O carimbo que utilizamos na empresa é essencial para autenticar documentos oficiais e garantir a sua validade.,2026-01-22
Ideation,Ideação,Ideation is a crucial process for developing innovative solutions in any business area.,A ideação é um processo crucial para o desenvolvimento de soluções inovadoras em qualquer área de negócio.,2026-01-22
better,melhor,Constant practice is the key to becoming better at any skill we wish to develop.,A prática constante é a chave para se tornar melhor em qualquer habilidade que desejamos desenvolver.,2026-01-22
Draft beer,Cerveja de pressão,"In the summer, I enjoy relaxing on a terrace with a nice cold draft beer.","No verão, gosto de relaxar numa esplanada com uma cerveja de pressão bem gelada.",2026-01-22
to lose,perder,"It is essential to learn to cope with the possibility of losing, as it is part of life and personal growth.","É fundamental aprender a lidar com a possibilidade de perder, pois faz parte da vida e do crescimento pessoal.",2026-01-22
More or less,Mais ou menos,"The situation is more or less under control, but we still need to stay alert for possible changes.","A situação está, mais ou menos, sob controlo, mas ainda precisamos de estar atentos a possíveis mudanças.",2026-01-22
A country boy,Um rapaz do campo,A country boy usually has a special connection with nature and rural life.,Um rapaz do campo geralmente tem uma ligação especial com a natureza e a vida rural.,2026-01-22
Funny riddle,Enigma engraçado,A funny riddle can be a great way to lighten up a conversation among friends.,Um enigma engraçado pode ser uma excelente forma de animar uma conversa entre amigos.,2026-01-22
Rusty,Enferrujado,The car was so rusty that it looked like it had been abandoned in the garage for years.,O carro estava tão enferrujado que parecia ter estado abandonado durante anos na garagem.,2026-01-22
tea pot,bule,The ceramic teapot I bought is perfect for making good tea for my friends.,O bule de cerâmica que comprei é perfeito para preparar um bom chá para os meus amigos.,2026-01-22
placer,placer,The term placer is used to describe a location where valuable mineral deposits are found.,O placer é um termo utilizado para descrever um local onde se encontram depósitos de minerais valiosos.,2026-01-22
a brawl,uma briga,The brawl that occurred at the party left all the guests in a state of shock and concern.,A briga que ocorreu na festa deixou todos os convidados em estado de choque e preocupação.,2026-01-22
a quarrel,uma discussão,The quarrel between the two friends became so intense that it almost affected their friendship.,A discussão entre os dois amigos tornou-se tão intensa que quase afetou a sua amizade.,2026-01-22
Worrying,Preocupante,The current economic situation is truly worrying and requires careful analysis by the competent authorities.,A situação económica atual é realmente preocupante e exige uma análise cuidadosa por parte das autoridades competentes.,2026-01-22
Doubting,Duvidando,"Doubting his abilities, he hesitated to accept the challenge that was presented to him.","Duvidando das suas capacidades, ele hesitou em aceitar o desafio que lhe foi proposto.",2026-01-22
Storage,Armazenamento,Efficient data storage is crucial for the operation of any modern computer system.,O armazenamento eficiente de dados é crucial para o funcionamento de qualquer sistema informático moderno.,2026-01-22
to pay interest,pagar juros,"It is important to know that by paying interest, we are increasing the total cost of the loan.","É importante saber que, ao pagar juros, estamos a aumentar o custo total do empréstimo.",2026-01-22
Overweight,Sobrepeso,Overweight is a growing problem that affects the health of many people worldwide.,O sobrepeso é um problema crescente que afeta a saúde de muitas pessoas em todo o mundo.,2026-01-22
Sweating,Suor,"Excessive sweating can be uncomfortable, but it is a natural response of the body to elevated temperatures.","O suor excessivo pode ser desconfortável, mas é uma resposta natural do corpo à temperatura elevada.",2026-01-22
Whistling,Assobio,The whistling of the wind through the trees creates a magical atmosphere at night.,O assobio do vento entre as árvores cria uma atmosfera mágica durante a noite.,2026-01-22
the narrator,a narradora,The narrator of the book has a unique way of telling stories that captivates readers from the very first page.,A narradora do livro tem uma forma única de contar histórias que cativa os leitores desde a primeira página.,2026-01-22
Phone hacking,Hacking de telemóveis,Phone hacking is an illegal practice that can compromise people's privacy.,O hacking de telemóveis é uma prática ilegal que pode comprometer a privacidade das pessoas.,2026-01-22
Bushes,Arbustos,The bushes in the garden need to be pruned regularly to maintain their shape and health.,Os arbustos no jardim precisam de ser podados regularmente para manter a sua forma e saúde.,2026-01-22
rotten teeth,dentes podres,Rotten teeth can cause serious oral health issues and affect people's self-esteem.,Os dentes podres podem causar problemas sérios de saúde bucal e afetar a autoestima das pessoas.,2026-01-22
street,rua,"The street where I live is quite busy, especially during the rush hours in the morning and afternoon.","A rua onde moro é bastante movimentada, especialmente durante as horas de ponta da manhã e da tarde.",2026-01-22
Format,Formato,The format of the document must be adjusted to ensure the best possible presentation of the data.,O formato do documento deve ser ajustado para garantir a melhor apresentação possível dos dados.,2026-01-22
Backward,Para trás,"He looked backward before crossing the road, ensuring that no car was coming.","Ele olhou para trás antes de atravessar a estrada, garantindo que não vinha nenhum carro.",2026-01-22
Software architectural diagram,Diagrama arquitetónico de software,A software architectural diagram is essential for understanding the structure and components of a complex system.,Um diagrama arquitetónico de software é essencial para compreender a estrutura e os componentes de um sistema complexo.,2026-01-22
Schedule,Agenda,The meeting's schedule was carefully crafted to ensure that all topics were addressed effectively.,A agenda da reunião foi cuidadosamente elaborada para garantir que todos os tópicos fossem abordados de forma eficaz.,2026-01-22
gamechanger,mudança de jogo,The new technology we are developing could be a true gamechanger for the automotive industry.,A nova tecnologia que estamos a desenvolver pode ser uma verdadeira mudança de jogo para a indústria automóvel.,2026-01-22
